team1,team2,venue,city,toss_winner,toss_decision,winner
India,England,M Chinnaswamy Stadium,Bangalore,England,field,India
India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,West Indies
India,Bangladesh,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,bat,India
Gibraltar,Israel,Skarpnack 1,Stockholm,Israel,field,Israel
Germany,Isle of Man,Skarpnack 2,Stockholm,Isle of Man,field,Germany
Gibraltar,Isle of Man,Skarpnack 1,Stockholm,Isle of Man,field,Isle of Man
Israel,Spain,Skarpnack 2,Stockholm,Spain,field,Spain
Pakistan,West Indies,Dubai International Cricket Stadium,,Pakistan,field,Pakistan
Pakistan,West Indies,Dubai International Cricket Stadium,,West Indies,field,Pakistan
Pakistan,West Indies,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Pakistan
Pakistan,West Indies,Sharjah Cricket Stadium,,West Indies,field,Pakistan
Pakistan,West Indies,Sharjah Cricket Stadium,,Pakistan,bat,Pakistan
Pakistan,West Indies,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,Pakistan
Pakistan,West Indies,Dubai International Cricket Stadium,,Pakistan,bat,Pakistan
Pakistan,West Indies,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,Pakistan
Pakistan,West Indies,Sharjah Cricket Stadium,,Pakistan,bat,West Indies
Canterbury,Northern Districts,Hagley Oval,,Northern Districts,field,Northern Districts
Wellington Firebirds,Auckland Aces,Bay Oval,,Wellington Firebirds,field,Wellington Firebirds
Canterbury,Central Stags,Hagley Oval,,Central Stags,field,Canterbury
Auckland Aces,Otago Volts,Kennards Hire Community Oval,,Auckland Aces,field,Auckland Aces
Northern Districts,Canterbury,Seddon Park,,Canterbury,field,Northern Districts
Canterbury,Auckland Aces,Mainpower Oval,,Auckland Aces,field,Canterbury
Northern Districts,Otago Volts,Cobham Oval,,Otago Volts,field,Otago Volts
Auckland Aces,Northern Districts,Kennards Hire Community Oval,,Auckland Aces,bat,Auckland Aces
Canterbury,Otago Volts,Hagley Oval,,Canterbury,field,Canterbury
Otago Volts,Auckland Aces,University of Otago Oval,,Auckland Aces,field,Auckland Aces
Northern Districts,Wellington Firebirds,Bay Oval,,Wellington Firebirds,bat,Northern Districts
Central Stags,Canterbury,Saxton Oval,,Central Stags,field,Central Stags
Canterbury,Wellington Firebirds,Hagley Oval,,Wellington Firebirds,field,Wellington Firebirds
Otago Volts,Northern Districts,University of Otago Oval,,Northern Districts,field,Northern Districts
Kenya,Saudi Arabia,Gymkhana Club Ground,Nairobi,Kenya,field,Saudi Arabia
Qatar,Uganda,Jaffery Sports Club Ground,Nairobi,Uganda,bat,Qatar
Kenya,Uganda,Gymkhana Club Ground,Nairobi,Kenya,field,Kenya
Qatar,Saudi Arabia,Jaffery Sports Club Ground,Nairobi,Qatar,field,Saudi Arabia
Kenya,Qatar,Gymkhana Club Ground,Nairobi,Qatar,field,Qatar
Zimbabwe,Sri Lanka,Harare Sports Club,,Sri Lanka,bat,Sri Lanka
Zimbabwe,Sri Lanka,Harare Sports Club,,Zimbabwe,field,Sri Lanka
Zimbabwe,Sri Lanka,Harare Sports Club,,Sri Lanka,field,Sri Lanka
Sri Lanka,West Indies,Harare Sports Club,,Sri Lanka,field,West Indies
Sri Lanka,West Indies,Queens Sports Club,Bulawayo,West Indies,field,Sri Lanka
Zimbabwe,West Indies,Queens Sports Club,Bulawayo,Zimbabwe,bat,Zimbabwe
Zimbabwe,Sri Lanka,Queens Sports Club,Bulawayo,Zimbabwe,bat,Sri Lanka
Denmark,Italy,"Wright Cricket Field, Woodley Park",Los Angeles,Italy,field,Denmark
Bermuda,Oman,"Severn Cricket Field, Woodley Park",Los Angeles,Oman,field,Oman
Denmark,Jersey,"Wright Cricket Field, Woodley Park",Los Angeles,Denmark,field,Denmark
United States of America,Italy,"Wong Cricket Field, Woodley Park",Los Angeles,Italy,bat,United States of America
Italy,Jersey,"Severn Cricket Field, Woodley Park",Los Angeles,Jersey,field,Jersey
United States of America,Oman,"Wright Cricket Field, Woodley Park",Los Angeles,United States of America,field,United States of America
Bermuda,Denmark,"Wong Cricket Field, Woodley Park",Los Angeles,Denmark,field,Bermuda
United States of America,Denmark,"Severn Cricket Field, Woodley Park",Los Angeles,Denmark,field,Denmark
Bermuda,Jersey,"Wright Cricket Field, Woodley Park",Los Angeles,Bermuda,bat,Bermuda
Italy,Oman,"Wong Cricket Field, Woodley Park",Los Angeles,Italy,bat,Oman
Denmark,Oman,"Severn Cricket Field, Woodley Park",Los Angeles,Denmark,field,Oman
Bermuda,Italy,"Wright Cricket Field, Woodley Park",Los Angeles,Bermuda,field,Italy
United States of America,Jersey,"Wong Cricket Field, Woodley Park",Los Angeles,Jersey,bat,Jersey
Bermuda,Denmark,"Wright Cricket Field, Woodley Park",Los Angeles,Denmark,bat,Denmark
United States of America,Oman,"Severn Cricket Field, Woodley Park",Los Angeles,United States of America,bat,United States of America
India,Australia,Maharashtra Cricket Association Stadium,Pune,Australia,bat,Australia
India,Australia,M Chinnaswamy Stadium,Bengaluru,India,bat,India
India,Australia,Himachal Pradesh Cricket Association Stadium,Dharamsala,Australia,bat,India
Rajshahi Kings,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,bat,Comilla Victorians
Khulna Titans,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Dhaka,Rangpur Riders,field,Rangpur Riders
Chittagong Vikings,Barisal Bulls,"Shere Bangla National Stadium, Mirpur",Dhaka,Barisal Bulls,field,Barisal Bulls
Dhaka Dynamites,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Dhaka,Comilla Victorians,field,Dhaka Dynamites
Rajshahi Kings,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,bat,Rajshahi Kings
Khulna Titans,Barisal Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Barisal Bulls,field,Khulna Titans
Barisal Bulls,Dhaka Dynamites,"Shere Bangla National Stadium, Mirpur",Dhaka,Dhaka Dynamites,field,Dhaka Dynamites
Chittagong Vikings,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Dhaka,Comilla Victorians,field,Chittagong Vikings
Khulna Titans,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Khulna Titans,bat,Khulna Titans
Chittagong Vikings,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Dhaka,Rangpur Riders,field,Rangpur Riders
Comilla Victorians,Barisal Bulls,"Shere Bangla National Stadium, Mirpur",Dhaka,Comilla Victorians,bat,Barisal Bulls
Dhaka Dynamites,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,field,Rajshahi Kings
Khulna Titans,Chittagong Vikings,"Shere Bangla National Stadium, Mirpur",Dhaka,Chittagong Vikings,field,Khulna Titans
Dhaka Dynamites,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Dhaka,Rangpur Riders,field,Dhaka Dynamites
Barisal Bulls,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,field,Barisal Bulls
Khulna Titans,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Dhaka,Comilla Victorians,field,Khulna Titans
Dhaka Dynamites,Chittagong Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Chittagong Vikings,field,Dhaka Dynamites
Rangpur Riders,Barisal Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Barisal Bulls,field,Rangpur Riders
Chittagong Vikings,Rajshahi Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Rajshahi Kings,field,Chittagong Vikings
Comilla Victorians,Rangpur Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Rangpur Riders,field,Rangpur Riders
Khulna Titans,Dhaka Dynamites,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Khulna Titans,bat,Khulna Titans
Comilla Victorians,Rajshahi Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Rajshahi Kings,field,Comilla Victorians
Dhaka Dynamites,Rajshahi Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Dhaka Dynamites,bat,Rajshahi Kings
Comilla Victorians,Chittagong Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Comilla Victorians,bat,Chittagong Vikings
Khulna Titans,Rangpur Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Khulna Titans,bat,Rangpur Riders
Chittagong Vikings,Barisal Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Chittagong Vikings,bat,Chittagong Vikings
Rajshahi Kings,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Dhaka,Rangpur Riders,field,Rajshahi Kings
Barisal Bulls,Khulna Titans,"Shere Bangla National Stadium, Mirpur",Dhaka,Barisal Bulls,bat,Khulna Titans
Dhaka Dynamites,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Dhaka,Dhaka Dynamites,bat,Dhaka Dynamites
Rajshahi Kings,Khulna Titans,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,bat,Rajshahi Kings
Barisal Bulls,Dhaka Dynamites,"Shere Bangla National Stadium, Mirpur",Dhaka,Barisal Bulls,bat,Dhaka Dynamites
Rangpur Riders,Chittagong Vikings,"Shere Bangla National Stadium, Mirpur",Dhaka,Rangpur Riders,bat,Chittagong Vikings
